epsilon_progress,nfe
0,0
76,100
753,1193
976,2291
1168,3291
1295,4388
1437,5479
1553,6576
1664,7668
1760,8764
1852,9854
1890,12108
2092,14979
2418,17851
2772,20723
3130,23595
3422,26467
3659,29338
3914,32210
