epsilon_progress,nfe
0,0
74,100
600,1193
855,2291
1111,3387
1320,4483
1507,5580
1678,6676
1857,7773
2022,8869
2151,9964
2157,12388
2372,15620
2714,18852
3232,22084
3848,25316
4376,28545
4892,31777
