0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,7,0,0,2,0,4,37255203.23710208,0.0,1942273676.7002692,0.11355811119040676,14569121.21980495,0.0017609693128131903,14261651.781499248,0.0,63275368.490582086,0.0,810600000.0,41934.80154893663
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,7,0,0,0,0,0,7,7,0,1,0,0,142620835.55407643,0.0,119549513.11506593,0.0212070298417358,1186655764.9498267,0.9805233727763225,32304948.475029543,0.0,25037214.086173728,0.0,217800000.0,0.0
0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,5,0,0,0,2,0,0,0,0,3,0,3,0,3,53972506.18695759,0.0,1942273676.7002692,0.27253946685697616,0.0,0.0,8453407.696608048,0.0,63921995.57957761,0.0,679700000.0,25099.2911010514
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6,0,1,0,1,1,0,2,1,2,0,3,0,0,95486976.46933737,0.0,1579725987.2048707,0.21575226938391595,43224599.14167526,0.0,13903423.98391871,0.0,30351526.042379983,0.0,30700000.0,19833.38616658015
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,3,1,6,2,0,3,2,2,4,0,6,88247579.16441843,0.0020546234377575127,1098738390.1707222,0.04860979967503953,58517988.01954745,0.0,25236480.803278465,0.0,79444167.5169792,0.0,30700000.0,27744.644096455624
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,6,6,0,1,1,0,0,4,0,2,7,6,144970731.54380167,0.0,173953584.57594672,0.012223192838488347,265417015.45602015,0.1901282330251217,9695195.36216505,0.0,129338007.42104682,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,3,0,0,1,1,2,1,3,6,0,0,0,95486976.46933737,0.0,811576802.3133234,0.11586748133624014,65000908.30641317,0.0,29460091.538647782,0.0,0.0,0.0,0.0,9797.965822770157
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,5,7,1,0,0,1,0,0,3,2,0,1,0,0,201783459.3101869,0.0,1322984943.0091012,0.5081776878487999,20299287.62732069,0.0,16563094.679399516,0.0,25037214.086173728,0.0,61400000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,4,0,0,0,6,3,4,0,1,0,7,100714900.1874114,0.0,613798783.9463444,0.21260971737610782,501330137.1653709,0.3865159710020318,19176830.963968083,0.0,70740857.80294001,0.0,0.0,0.0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,7,0,1,0,1,0,0,3,2,0,1,0,3,162781975.58788604,0.0,1913602273.9090166,0.740856833515953,20299287.62732069,0.0,16563094.679399516,0.0,56425877.743436806,0.0,115300000.0,0.0
