epsilon_progress,nfe
0,0
68,100
541,1197
797,2293
1027,3383
1242,4475
1419,5475
1563,6570
1700,7664
1856,8758
1977,9758
2035,12980
2375,17012
2839,21044
3542,25076
4266,29108
4956,33140
